,wideClass,mass (g)
13103,L,219.3
13104,LL,353.0
13105,L,261.9
13106,L,158.6
13107,L,146.3
13108,LL,268.5
13109,LL,294.2
13110,H,257.7
13111,L,201.1
13112,LL,239.8
13113,LL,165.4
13114,L,177.7
13115,L,212.2
13116,L,174.5
13117,LL,131.4
13118,L,184.7
13119,LL,155.1
13120,H,131.7
13121,L,135.8
13122,L,139.4
13123,H,189.5
13124,L,177.6
13125,L,238.6
13126,L,139.2
13127,L,183.7
13128,LL,128.0
13129,H,140.3
13130,L,135.9
13131,L,123.0
13132,L,117.1
13133,H,245.1
13134,L,91.6
13135,L,95.2
13136,L,113.8
13137,H,207.6
13138,H,142.2
13139,LL,122.7
13140,L,142.4
13141,LL,73.8
13142,L,61.0
13143,L,78.59999999999998
13144,L,111.5
13145,L,88.0
13146,L,103.2
13147,LL,100.9
13148,H,93.0
13149,LL,86.1
13150,CR,108.3
13151,L,87.5
13152,L,64.1
13153,L,75.4
13154,H,102.7
13155,H,82.9
13156,L,48.9
13157,L,86.3
13158,L,84.1
13159,L,69.6
13160,L,55.9
13161,L,64.1
13162,H,70.90000000000002
13163,L,52.2
13164,L,74.2
13165,LL,67.5
13166,L,69.5
13167,LL,114.8
13168,LL,69.4
13169,LL,49.6
13170,LL,65.4
13171,LL,45.6
13172,L,61.0
13173,LL,49.0
13174,LL,37.6
13175,LL,26.6
13176,LL,26.3
13177,LL,20.0
13178,LL,6.3
13179,L,5.0
13180,LL,5.3
13181,LL,26.6
13182,L,0.94
13183,LL,14.5
13184,LL,40.7
13185,LL,32.0
13186,LL,37.9
13187,L,10.8
13188,LL,21.1
13189,LL,9.7
13190,LL,21.4
13191,LL,3.1
13192,LL,32.9
13193,LL,10.0
13194,L,23.7
13195,LL,0.78
13196,L,14.7
13197,L,5.7
13198,LL,13.0
13199,L,31.9
13200,L,6.4
13201,LL,32.5
13202,L,16.8
13203,LL,1.25
13204,LL,1.08
13205,Iron,9130.0
13206,L,1501.6
13207,LL,907.6
13208,L,1033.1
13209,L,1319.4
13210,L,917.9
13211,L,500.6
13212,L,730.9
13213,LL,482.3
13214,Eucrite,433.5
13215,H,325.7
13216,L,199.3
13217,LL,243.0
13218,L,218.0
13219,L,174.0
13220,H,139.6
13221,L,292.7
13222,H,176.0
13223,H,174.3
13224,H,94.0
13225,H,80.8
13226,L,108.1
13227,L,83.8
13228,H,67.6
13229,H,98.5
13230,H,41.5
13231,L,156.7
13232,H,138.8
13233,L,75.59999999999998
13234,H,88.7
13235,L,99.6
13236,L,66.2
13237,LL,52.5
13238,H,42.4
13239,L,50.7
13240,L,49.0
13241,LL,29.4
13242,H,33.2
13243,H,23.5
13244,H,23.4
13245,L,16.3
13246,LL,27.7
13247,H,15.0
13248,LL,3.4
13249,L,3.7
13250,LL,10.3
13251,L,2.3
13252,L,3.3
13342,L,16.5
13385,LL,5.3
13440,L,3.37
13441,LL,4.89
13442,LL,4.76
13443,H,2.24
13444,CM,0.4
13445,L,1.67
13446,H,25.94
13447,H,6.17
13448,H,2.11
13449,LL,2.5
13450,L,0.55
13451,LL,1.33
13452,LL,7.4
13453,LL,2.72
13454,CK,10.1
13455,H,1.53
13456,CM,2.2
13457,H,2.5
13458,LL,10.1
13459,L,2.56
13460,LL,11.3
13461,H,3.4
13462,H,2.69
13463,H,8.09
13464,CM,3.6
13465,H,12.0
13466,L,428.8
13467,LL,10.1
13468,L,39.6
13469,H,0.5
13470,H,1.93
13471,LL,1.91
13472,LL,1.51
13473,LL,24.6
13474,L,6.32
13475,LL,1.1
13476,LL,1.64
13477,L,25.6
13478,L,166.1
13479,L,31.7
13480,LL,1.41
13481,H,2.16
13482,H,56.9
13483,H,5.52
13484,H,1.96
13485,L,3.0
13486,L,8.9
13487,H,8.5
13488,L,1.22
13489,H,3.13
13490,H,1.36
13491,H,12.1
13492,L,10.5
13493,H,2.16
13494,H,3.01
13495,L,5.46
13496,L,14.1
13497,L,2.53
13498,L,209.0
13499,L,21.2
13500,L,6.55
13501,L,2.26
13502,L,2.86
13503,L,1.99
13504,H,2.33
13505,H,1.76
13506,H,0.94
13507,L,623.8
13508,L,171.5
13509,H,7.91
13510,H,4.51
13511,H,13.0
13512,L,9.0
13513,H,1.48
13514,H,32.2
13515,H,37.3
13516,H,1.31
13517,H,20.0
13518,L,24.8
13519,H,5.77
13520,L,5.03
13521,H,8.7
13522,H,1.12
13523,L,7.73
13524,L,2.08
13525,H,2.07
13526,H,3.02
13527,H,4.56
13528,Martian,7.5
13529,H,5.32
13530,H,1.26
13531,H,1.06
13532,L,6.05
13533,L,1.79
13534,H,131.2
13535,H,122.7
13536,Pallasite,23.5
13537,H,7.25
13538,H,2.59
13539,H,4.23
13540,L,19.1
13541,LL,26.1
13542,LL,24.4
13543,L,13.9
13544,L,3.68
13545,H,5.79
13546,H,2.02
13547,H,3.06
13548,L,2.18
13549,H,1.6
13550,H,1.28
13551,L,1.0
13552,L,8.34
13553,L,123.6
13554,L,3.51
13555,H,8.12
13556,H,36.4
13557,LL,7.8
13558,H,1.73
13559,H,14.5
13560,H,13.8
13561,H,3.39
13562,Mesosiderite,1.47
13563,L,2.1
13564,H,4.79
13565,L,6.77
13566,H,11.7
13567,H,51.7
13568,H,139.7
13569,L,3.81
13570,L,1.9
13571,L,16.4
13572,L,12.3
13573,L,3.31
13574,L,8.75
13575,L,2.27
13576,H,3.25
13577,H,7.08
13578,L,0.92
13579,L,1.13
13580,L,2.28
13581,H,1.96
13582,L,1.69
13583,H,2.28
13584,H,2.9
13585,L,6.88
13586,L,8.89
13587,H,2.02
13588,L,1.45
13589,L,2.53
13590,H,1.6
13591,L,1.51
13592,L,612.0
13593,L,2.65
13594,L,4.8
13595,L,1101.8
13596,L,1.54
13597,H,3.72
13598,L,7.6
13599,H,2.31
13600,L,3.42
13601,L,5.2
13602,L,6.96
13603,H,8.02
13604,L,7.48
13605,H,11.5
13606,L,4.78
13607,Mesosiderite,0.55
13608,L,1.05
13609,L,2.62
13610,L,56.05
13611,Mesosiderite,1.54
13612,H,1.6
13613,L,1.29
13614,H,0.55
13615,H,23.1
13616,L,1.04
13617,L,0.85
13618,L,3.17
13619,H,1.6
13620,H,37.8
13621,L,1.54
13622,L,558.6
13623,H,0.52
13624,H,0.56
13625,H,38.3
13626,H,78.3
13627,H,0.68
13628,H,0.8
13629,H,0.85
13630,H,1.22
13631,H,31.2
13632,H,1.05
13633,H,1.19
13634,H,1.28
13635,H,1.72
13636,H,2.65
13637,H,6.34
13638,H,26.0
13639,H,28.8
13640,L,6.24
13641,L,6.4
13642,H,44.6
13643,H,16.5
13644,H,1.1
13645,H,4.31
13646,H,17.3
13647,H,14.9
13648,H,1.35
13649,H,0.44
13650,H,72.9
13651,H,77.59999999999998
13652,H,24.0
13653,H,14.0
13654,H,14.4
13655,H,9.96
13656,H,8.43
13657,H,4.38
13658,H,1.77
13659,H,1.06
13660,H,92.3
13661,H,1.53
13662,H,1.14
13663,H,1.54
13664,H,1.2
13665,H,1.2
13666,H,0.92
13667,H,0.84
13668,H,0.89
13669,H,0.68
13670,H,0.8
13671,H,0.48
13672,H,8.25
13673,H,4.39
13674,H,1.36
13675,H,68.7
13676,H,26.3
13677,H,3.27
13678,Mesosiderite,1.79
13679,L,18.6
13680,L,9.73
13681,L,0.55
13682,H,3.33
13683,L,0.82
13684,L,1.27
13685,L,4.57
13686,L,1.71
13687,L,6.79
13688,L,5.0
13689,L,3.2
13690,L,1.58
13691,L,1.74
13692,L,1.3
13693,L,2.11
13694,L,3.36
13695,L,4.26
13696,L,1.31
13697,L,1.2
13698,L,2.06
13699,L,1.86
13700,L,1.29
13701,L,1.27
13702,L,1.09
13703,L,1.15
13704,L,1.06
13705,L,1.35
13706,L,1.34
13707,L,0.9
13708,L,1.32
13709,L,0.98
13710,L,0.91
13711,L,0.69
13712,L,0.87
13713,L,0.87
13714,L,0.64
13715,L,0.84
13716,L,0.6
13717,L,0.6
13718,L,0.65
13719,L,0.64
13720,L,0.67
13721,L,0.67
13722,L,0.67
13723,L,0.67
13724,L,0.46
13725,L,0.54
13726,L,0.47
13727,L,0.44
13728,L,0.48
13729,L,0.46
13730,L,0.46
13731,L,0.46
13732,L,0.48
13733,L,0.44
13734,L,0.45
13735,L,0.47
13736,H,21.3
13737,H,1.27
13738,H,14.24
13739,L,50.07
13740,L,25.0
13741,L,20.23
13742,L,13.11
13743,L,5.47
13744,L,1.77
13745,L,1.85
13746,L,1.56
13747,H,1.56
13748,L,1.16
13749,L,1.0
13750,L,0.9
13751,L,1.06
13752,L,0.63
13753,L,1.01
13754,L,0.68
13755,L,0.63
13756,L,0.59
13757,L,0.44
13758,L,0.47
13759,L,21.69
13760,L,0.47
13761,L,0.47
13762,L,3.96
13763,L,0.87
13764,L,0.59
13765,L,2.09
13766,L,2.19
13767,L,1.28
13768,L,0.92
13769,L,0.65
13770,L,0.9
13771,L,0.54
13772,L,0.55
13773,L,0.46
13774,L,0.47
13775,L,2.08
13776,L,2.07
13777,L,1.85
13778,L,1.2
13779,L,1.18
13780,L,1.0
13781,L,0.82
13782,L,0.7
13783,L,0.47
13784,L,0.47
13785,L,0.46
13786,L,0.48
13787,L,0.44
13788,L,0.54
13789,H,2.63
13790,L,2.18
13791,L,0.89
13792,L,1.16
13793,L,0.65
13794,L,0.56
13795,H,0.6
13796,L,0.46
13797,H,0.45
13798,L,0.55
13799,L,0.89
13800,L,0.65
13801,L,0.45
13802,L,0.65
13803,L,0.46
13804,L,30.9
13805,L,183.7
13806,L,3.38
13807,L,58.5
13808,L,104.5
13809,H,12.9
13810,H,17.2
13811,L,199.9
13812,H,60.5
13813,H,82.1
13814,H,80.59999999999998
13815,L,108.2
13816,L,56.2
13817,L,1716.5
13818,H,241.2
13819,H,342.5
13820,L,8.39
13821,L,43.7
13822,LL,3.6
13823,L,1.36
13824,L,0.63
13825,L,57.1
13826,L,12.83
13827,L,17.37
13828,L,17.41
13829,L,23.56
13830,L,17.81
13831,L,91.3
13832,L,39.13
13833,H,9.33
13834,H,278.2
13835,H,186.2
13836,H,462.7
13837,H,11.5
13838,Ureilite,143.4
13839,H,30.82
13840,L,61.32
13841,H,88.91
13842,H,96.36
13843,H,54.14
13844,H,0.56
13845,H,1.18
13846,L,1.32
13847,Mesosiderite,3.87
13848,H,2.49
13849,L,3.08
13850,L,4.34
13851,H,0.7
13852,CM,1.45
13853,L,0.55
13854,L,3.12
13855,L,19.6
13856,L,31.81
13857,H,16.26
13858,H,18.63
13859,H,0.83
13860,Mesosiderite,0.6
13861,H,1.51
13862,L,25.4
13863,H,10.45
13864,H,3.2
13865,L,4.4
13866,L,7.0
13867,H,13.69
13868,H,13.48
13869,H,9.34
13870,H,19.67
13871,H,24.36
13872,H,112.54
13873,L,56.95
13874,L,47.17
13875,L,19.19
13876,L,2.5
13877,H,105.88
13878,L,14.42
13879,CO,6.6
13880,CM,0.48
13881,L,54.2
13882,L,44.22
13883,L,8.81
13884,L,4.16
13885,L,11.59
13886,L,31.33
13887,L,9.58
13888,H,67.42
13889,H,16.49
13890,H,3.88
13891,H,28.09
13892,L,108.9
13893,L,22.53
13894,L,8.36
13895,L,26.77
13896,H,79.76
13897,H,24.51
13898,H,0.85
13899,H,13.59
13900,H,4360.0
13901,H,371.1
13902,L,6.51
13903,H,0.6
13904,H,1.56
13905,H,3.26
13906,L,49.85
13907,H,26.72
13908,H,2.17
13909,L,1.3
13910,L,47.32
13911,L,4.7
13912,L,4.25
13913,H,1.85
13914,H,1.2
13915,H,0.55
13916,H,0.46
13917,H,0.44
13918,H,3.38
13919,H,1.31
13920,H,1.0
13921,H,0.7
13922,L,2.07
13923,L,1.18
13924,L,0.92
13925,L,6.55
13926,L,4.14
13927,L,2.18
13928,H,1.53
13929,L,1.08
13930,H,0.81
13931,L,12.81
13932,L,13.9
13933,L,0.89
13934,L,35.15
13935,L,57.89
13936,H,1.0
13937,L,16.56
13938,L,1.72
13939,H,8.03
13940,H,6.46
13941,H,2.58
13942,Acapulcoite,2.19
13943,H,1.29
13944,L,88.53
13945,L,406.1
13946,L,282.4
13947,L,37.8
13948,L,265.2
13949,L,187.38
13950,H,0.47
13951,L,83.65
13952,L,56.25
13953,L,51.6
13954,L,37.9
13955,L,32.65
13956,L,27.55
13957,L,21.01
13958,L,9.72
13959,L,9.04
13960,L,6.65
13961,H,2.59
13962,H,0.93
13963,L,0.98
13964,E,0.61
13965,H,1.0
13966,L,3.41
13967,L,0.66
13968,H,17.31
13969,L,1.02
13970,L,0.45
13971,L,6.2
13972,L,16.99
13973,H,0.99
13974,CR,442.6
13975,L,274.1
13976,L,285.3
13977,L,147.89
13978,L,136.81
13979,H,1.47
13980,H,1.15
13981,H,1.0
13982,H,1.08
13983,L,33.21
13984,L,25.55
13985,L,22.02
13986,L,24.99
13987,L,11.24
13988,L,9.17
13989,H,2.19
13990,Ureilite,2.97
13991,L,9.72
13992,L,3.99
13993,H,4.14
13994,H,2.58
13995,L,6.11
13996,L,2.65
13997,H,2.59
13998,L,2.11
13999,H,1.33
14000,H,1.51
14001,H,1.08
14002,H,1.14
14003,L,0.8
14004,L,2.41
14005,L,0.68
14006,L,0.23
14007,L,0.84
14008,L,2.53
14009,L,0.59
14010,CR,0.86
14011,CR,1.0
14012,CR,0.66
14013,L,2.42
14014,L,0.45
14015,L,4.41
14016,L,2.56
14017,L,19.63
14018,L,71.74
14019,L,72.48999999999998
14020,L,70.11
14021,Ureilite,24.9
14022,H,35.11
14023,L,12.62
14024,L,102.02
14025,L,88.64
14026,L,49.78
14027,L,44.5
14028,H,41.78
14029,L,55.32
14030,L,99.66
14031,H,8.54
14032,L,49.78
14033,L,14.06
14034,L,28.08
14035,L,175.0
14036,L,115.9
14037,L,46.13
14038,L,179.05
14039,L,58.6
14040,H,4.05
14041,H,2.44
14042,L,2.43
14043,H,1.52
14044,L,1.31
14045,H,1.01
14046,L,1.83
14047,L,1.34
14048,L,1.17
14049,H,0.56
14050,H,1.06
14051,H,0.63
14052,H,0.64
14053,H,0.47
14054,H,1.29
14055,H,1.22
14056,L,1.01
14057,L,0.99
14058,H,0.92
14059,H,0.52
14060,L,0.46
14061,L,0.52
14062,CV,1.28
14063,H,1.59
14064,H,2.43
14065,H,1.72
14066,H,1.5
14067,H,0.92
14068,H,0.83
14069,H,1.3
14070,H,1.08
14071,H,0.88
14072,H,1.09
14073,H,0.82
14074,H,1.2
14075,H,0.45
14076,H,0.44
14077,H,0.56
14078,H,0.83
14079,H,0.89
14080,H,0.55
14081,H,0.67
14082,H,0.67
14083,H,0.56
14084,H,0.45
14085,H,0.67
14086,H,0.59
14087,H,0.46
14088,H,0.56
14089,H,0.48
14090,H,0.47
14091,L,6.01
14092,H,3.38
14093,H,3.07
14094,H,2.6
14095,H,1.55
14096,L,11.44
14097,L,8.57
14098,L,8.21
14099,H,7.87
14100,L,8.0
14101,H,5.56
14102,L,3.5
14103,H,3.26
14104,L,4.57
14105,L,3.97
14106,L,4.15
14107,L,3.26
14108,L,3.42
14109,L,2.42
14110,L,2.44
14111,H,2.13
14112,L,4.12
14113,L,2.16
14114,L,1.85
14115,H,1.8
14116,H,1.8
14117,L,8.36
14118,H,5.66
14119,H,2.57
14120,L,2.44
14121,H,2.13
14122,H,2.06
14123,L,1.58
14124,L,1.3
14125,CV,1.1
14126,H,3.48
14127,H,2.12
14128,H,0.99
14129,H,0.81
14130,H,0.59
14131,L,8.93
14132,L,1.82
14133,L,2.63
14134,L,1.29
14135,L,3.9
14136,LL,3.5
14137,L,0.69
14138,LL,2953.0
14139,L,228.6
14140,L,102.91
14141,L,405.9
14142,L,101.39
14143,L,73.31999999999998
14144,L,169.65
14145,L,244.9
14146,L,245.5
14147,L,119.14
14148,L,39.86
14149,L,204.8
14150,L,398.7
14151,L,345.0
14152,L,107.26
14153,L,96.54
14154,L,935.9
14155,L,1012.0
14156,L,160.67
14157,L,589.5
14158,L,96.74
14159,L,218.1
14160,L,208.7
14161,L,152.14
14162,L,47.76
14163,L,4.04
14164,L,5.48
14165,L,4.19
14166,L,3.44
14167,L,2.48
14168,L,2.1
14169,L,2.13
14170,L,1.81
14171,L,2.16
14172,L,0.56
14173,L,1.29
14174,L,1.15
14175,L,1.29
14176,L,1.07
14177,L,0.98
14178,L,0.44
14179,L,0.44
14180,L,0.48
14181,LL,0.64
14182,L,2.55
14183,L,1.56
14184,H,1.05
14185,H,0.54
14186,L,365.6
14187,L,33.49
14188,L,171.43
14189,L,79.63
14190,L,69.62
14191,L,32.28
14192,L,46.03
14193,L,27.2
14194,L,363.0
14195,L,107.56
14196,L,45.92
14197,L,103.12
14198,L,22.75
14199,L,47.14
14200,L,47.98
14201,L,39.15
14202,L,31.14
14203,L,30.24
14204,L,30.54
14205,L,24.75
14206,L,23.92
14207,L,21.37
14208,L,19.99
14209,L,17.33
14210,L,12.34
14211,L,6.59
14212,L,69.47
14213,L,40.9
14214,L,36.35
14215,L,26.6
14216,L,23.31
14217,L,14.71
14218,L,8.6
14219,L,31.8
14220,L,20.67
14221,L,21.15
14222,L,17.15
14223,L,17.21
14224,L,14.34
14225,L,12.54
14226,L,6.24
14227,L,19.66
14228,L,19.87
14229,L,21.02
14230,L,18.51
14231,L,15.36
14232,L,14.2
14233,L,13.03
14234,L,610.1
14235,L,26.54
14236,L,140.96
14237,L,94.29
14238,L,14.91
14239,L,8.93
14240,L,6.33
14241,L,139.67
14242,L,93.07
14243,L,79.97
14244,L,73.0
14245,L,56.95
14246,L,68.33
14247,L,56.05
14248,L,44.46
14249,L,36.6
14250,L,34.47
14251,L,23.94
14252,L,8.44
14253,L,5.82
14254,L,3.44
14255,L,13.26
14256,L,11.99
14257,L,9.74
14258,L,9.68
14259,L,42.08
14260,L,18.76
14261,L,19.03
14262,L,14.8
14263,L,15.57
14264,L,6.33
14265,L,4.33
14266,L,1.1
14267,L,0.66
14268,L,30.08
14269,L,27.79
14270,L,17.37
14271,L,13.9
14272,L,16.21
14273,L,13.98
14274,L,22.5
14275,L,15.83
14276,L,9.86
14277,L,11.76
14278,L,11.09
14279,L,12.07
14280,L,8.75
14281,L,9.0
14282,L,9.08
14283,L,6.0
14284,L,3.16
14285,L,100.95
14286,L,12.01
14287,L,29.09
14288,L,125.96
14289,L,71.24
14290,L,15.45
14291,L,6.46
14292,L,14.1
14293,L,46.45
14294,L,18.68
14295,L,14.76
14296,L,9.62
14297,L,9.42
14298,L,8.54
14299,L,7.84
14300,L,5.92
14301,L,14.11
14302,L,8.48
14303,L,6.35
14304,L,3.34
14305,L,2.06
14306,H,1.85
14307,L,1.54
14308,L,4.22
14309,L,2.19
14310,L,1.77
14311,L,3.19
14312,L,2.62
14313,L,2.18
14314,H,1.08
14315,L,5.45
14316,L,3.45
14317,L,2.53
14318,L,2.44
14319,L,2.18
14320,L,8.45
14321,L,8.84
14322,L,5.94
14323,L,3.42
14324,L,3.21
14325,L,2.09
14326,L,6.38
14327,L,4.09
14328,L,43.3
14329,L,8.4
14330,L,11.92
14331,L,37.06
14332,L,11.07
14333,L,33.02
14334,L,38.14
14335,L,12.24
14336,L,1.19
14337,L,1.3
14338,L,1.57
14339,L,1.52
14340,L,1.02
14341,L,1.02
14342,L,0.59
14343,L,0.81
14344,L,0.44
14345,L,0.6
14346,L,0.47
14347,L,0.45
14348,L,13.41
14349,L,5.79
14350,L,4.53
14351,L,2.16
14352,H,8.36
14353,L,1.01
14354,L,1.0
14355,L,0.69
14356,H,0.48
14357,L,2.2
14358,L,1.2
14359,H,1.0
14360,L,0.61
14361,L,0.47
14362,L,0.44
14363,L,0.48
14364,L,0.47
14365,L,1.6
14366,L,1.31
14367,L,1.22
14368,L,1.2
14369,L,0.92
14370,L,0.66
14371,L,0.56
14372,L,0.65
14373,H,1.53
14374,H,0.8
14375,H,0.89
14376,L,2.26
14377,L,18.15
14378,L,4.56
14379,L,4.53
14380,H,3.49
14381,L,2.58
14382,H,2.48
14383,L,2.06
14384,H,1.51
14385,L,0.98
14386,H,0.7
14387,L,63.22
14388,H,386.3
14389,L,6.85
14390,L,6.38
14391,L,2.53
14392,L,25.99
14393,L,29.05
14394,H,18.82
14395,H,4.25
14396,L,8.28
14397,L,6.08
14398,L,4.31
14399,L,5.53
14400,H,4.0
14401,L,4.13
14402,L,1.78
14403,H,1.84
14404,H,1.05
14405,L,1.22
14406,H,1.16
14407,L,0.97
14408,H,0.84
14409,H,3.14
14410,H,1.34
14411,L,1.22
14412,L,0.92
14413,L,0.65
14414,L,720.9
14415,L,679.2
14416,L,115.76
14417,L,97.22
14418,L,81.16
14419,L,62.35
14420,L,31.93
14421,L,27.11
14422,H,18.53
14423,L,21.25
14424,L,16.27
14425,L,16.77
14426,L,14.75
14427,L,10.05
14428,H,10.38
14429,CV,1.1
14430,L,14.7
14431,L,3.33
14432,LL,2.62
14433,L,6.46
14434,H,1.74
14435,L,1.81
14436,H,0.48
14437,H,0.69
14438,H,1.71
14439,H,0.69
14440,H,1.8
14441,H,0.48
14442,H,0.44
14443,H,1.78
14444,H,1.84
14445,H,0.55
14446,H,0.48
14447,H,0.97
14448,L,0.45
14449,H,2.59
14450,H,0.81
14451,H,0.48
14452,H,0.45
14453,H,1.77
14454,H,0.67
14455,H,1.5
14456,H,1.17
14457,H,1.08
14458,L,3.28
14459,H,3.12
14460,L,3.28
14461,L,2.2
14462,H,0.85
14463,H,0.55
14464,H,2.12
14465,L,1.15
14466,H,1.09
14467,H,0.98
14468,H,0.8
14469,L,2.61
14470,H,1.08
14471,L,0.6
14472,H,0.45
14473,H,0.59
14474,H,0.47
14475,L,0.97
14476,H,0.66
14477,L,0.66
14478,L,0.69
14479,L,0.55
14480,L,0.81
14481,H,1.06
14482,L,0.47
14483,L,0.48
14484,L,1.05
14485,L,1.55
14486,L,1.36
14487,L,0.59
14488,L,0.68
14489,L,1.5
14490,L,0.56
14491,L,0.82
14492,L,0.48
14493,L,0.6
14494,L,1.16
14495,L,0.68
14496,L,1.05
14497,L,0.89
14498,L,0.55
14499,L,0.82
14500,H,1.05
14501,L,0.47
14502,L,0.55
14503,L,0.63
14504,L,0.59
14505,L,0.69
14506,H,0.68
14507,H,1.57
14508,H,1.0
14509,H,0.6
14510,H,0.63
14511,H,0.65
14512,H,1.58
14513,H,1.15
14514,L,0.69
14515,L,0.47
14516,L,0.59
14517,L,0.56
14518,H,0.66
14519,L,40.56
14520,L,14.56
14521,L,10.42
14522,L,10.24
14523,H,4.13
14524,L,6.58
14525,L,6.17
14526,L,2.48
14527,L,17.9
14528,L,8.36
14529,LL,0.66
14530,H,1.33
14531,H,1.6
14532,H,1.05
14533,L,1.57
14534,L,0.83
14535,H,0.68
14536,L,0.47
14537,L,0.98
14538,L,0.69
14539,L,0.64
14540,H,0.84
14541,H,1.0
14542,H,0.65
14543,Ureilite,1.08
14544,H,1.01
14545,H,0.48
14546,H,0.81
14547,H,0.46
14548,H,2.05
14549,H,0.6
14550,H,0.63
14551,H,0.64
14552,H,1.8
14553,H,1.1
14554,H,1.06
14555,H,0.68
14556,H,1.58
14557,Ureilite,0.64
14558,Winonaite,2.06
14559,L,2.49
14560,H,1.85
14561,H,1.84
14562,H,0.9
14563,H,0.88
14564,H,0.61
14565,H,0.68
14566,L,6.64
14567,H,8.05
14568,H,35.91
14569,H,7.93
14570,LL,5.83
14571,L,10.12
14572,L,4.25
14573,L,8.5
14574,L,6.63
14575,H,6.59
14576,L,3.48
14577,L,8.1
14578,H,2.43
14579,H,3.91
14580,H,3.47
14581,L,3.44
14582,H,3.47
14583,H,2.11
14584,H,2.12
14585,Ureilite,1.2
14586,H,4.18
14587,L,3.45
14588,H,1.55
14589,L,1.54
14590,H,1.02
14591,H,0.7
14592,L,0.83
14593,H,0.66
14594,H,0.59
14595,H,0.48
14596,H,0.46
14597,H,1.09
14598,H,1.54
14599,H,1.0
14600,H,0.91
14601,H,0.47
14602,H,0.91
14603,H,1.16
14604,H,1.09
14605,H,0.87
14606,H,0.65
14607,H,0.56
14608,H,0.61
14609,H,0.56
14610,H,0.69
14611,H,0.47
14612,H,0.55
14613,H,0.64
14614,H,0.47
14615,H,0.45
14616,L,0.69
14617,H,0.56
14618,H,0.9
14619,L,0.56
14620,H,0.64
14621,H,0.59
14622,H,1.55
14623,H,1.56
14624,H,1.07
14625,H,1.16
14626,H,1.16
14627,H,1.35
14628,H,0.61
14629,L,0.92
14630,L,2.11
14631,L,1.07
14632,L,1.29
14633,H,1.52
14634,L,1.08
14635,H,1.6
14636,L,1.2
14637,H,1.28
14638,H,1.19
14639,H,0.7
14640,L,0.99
14641,L,1.31
14642,L,0.85
14643,H,0.65
14644,L,0.61
14645,L,0.61
14646,H,0.59
14647,H,0.98
14648,H,0.98
14649,H,1.83
14650,L,0.61
14651,L,0.64
14652,L,4.52
14653,L,2.16
14654,L,1.79
14655,L,0.99
14656,L,0.82
14657,L,0.84
14658,L,603.7000000000002
14659,H,82.16
14660,H,84.73
14661,L,1.8
14662,CV,1.2
14663,CV,0.41
14664,CV,1.18
14665,CV,1.31
14666,H,9.8
14667,H,9.25
14668,L,9.75
14669,L,8.08
14670,L,4.47
14671,L,2.44
14672,H,0.88
14673,H,0.48
14674,H,0.46
14675,H,0.46
14676,H,1.33
14677,H,0.91
14678,H,0.65
14679,L,0.65
14680,H,0.68
14681,H,0.6
14682,H,1.73
14683,L,2.45
14684,H,2.06
14685,L,0.9
14686,L,1.22
14687,H,0.46
14688,L,1.22
14689,H,1.36
14690,H,0.67
14691,H,0.82
14692,H,0.6
14693,H,0.46
14694,L,0.47
14695,H,2.2
14696,H,1.59
14697,H,1.14
14698,L,0.55
14699,L,0.55
14700,L,0.48
14701,L,5.71
14702,L,3.2
14703,L,0.52
14704,H,0.46
14705,L,21.43
14706,L,2.47
14707,L,0.45
14708,L,0.47
14709,L,0.46
14710,L,0.48
14711,L,0.7
14712,H,0.45
14713,L,0.55
14714,L,0.64
14715,L,0.48
14716,L,0.82
14717,L,0.47
14718,L,0.59
14719,L,8.27
14720,L,1.57
14721,LL,1.0
14722,L,1.85
14723,L,1.2
14724,L,1.0
14725,L,1.15
14726,L,1.06
14727,L,2.46
14728,L,1.08
14729,L,0.88
14730,L,0.83
14731,L,1.72
14732,L,0.98
14733,H,0.6
14734,L,0.46
14735,L,0.6
14736,L,0.56
14737,L,0.56
14738,L,3.36
14739,L,2.09
14740,L,1.81
14741,L,1.35
14742,L,1.28
14743,L,1.05
14744,L,0.81
14745,L,0.87
14746,H,53.35
14747,L,5.1
14748,L,0.66
14749,L,1.02
14750,L,1.09
14751,L,0.56
14752,L,0.9
14753,L,0.48
14754,L,0.66
14755,L,0.61
14756,L,0.61
14757,L,0.6
14758,L,0.47
14759,L,0.46
14760,L,0.46
14761,L,0.6
14762,L,0.8
14763,L,0.85
14764,L,0.85
14765,H,0.48
14766,L,1.06
14767,H,200.2
14768,L,8.24
14769,H,0.68
14770,H,8.83
14771,LL,0.45
14772,H,24.0
14773,H,3.99
14774,L,1.58
14775,H,2.41
14776,L,1.54
14777,Ureilite,1.14
14778,L,1.56
14779,L,0.91
14780,L,1.73
14781,L,0.65
14782,LL,0.7
14783,L,0.48
14784,L,0.88
14785,H,1.07
14786,L,0.87
14787,L,0.56
14788,L,0.45
14789,L,0.45
14790,L,8.52
14791,H,0.38
14792,Ureilite,24.7
14793,H,40.5
14794,L,2.41
14795,L,2.03
14796,LL,6.4
14797,LL,9.15
14798,L,1.15
14799,L,2.6
14800,LL,11.08
14801,L,1.82
14802,H,2.58
14803,H,4.58
14804,H,7.34
14805,L,0.8
14806,L,1.13
14807,LL,6.31
14808,L,2.23
14809,H,0.63
14810,LL,0.31
14811,L,0.69
14812,L,2.16
14813,H,2.88
14814,H,3.58
14815,L,0.03
