,wideClass,mass (g)
5136,R,70.0
5138,L,3650.0
5140,Eucrite,6.1
5142,Pallasite,2110.1
5148,H,451.7
5149,H,83.8
5157,H,37.2
5179,H,100000.0
5181,H,130.0
5182,L,606.0
5183,L,50.0
5184,Eucrite,272.75
5185,CM,31.14
5186,L,1395.0
5187,L,1560.0
5188,Pallasite,2312.9
5189,L,147.4
5221,H,798.0
5222,H,50.0
5223,L,18.4
5224,L,34200.0
5225,H,145.8
5226,L,859.7
5228,L,374.5
5229,L,879.9
5230,CR,486.0
5231,L,472.2
5232,L,362.4
5233,L,335.2
5234,L,234.6
5235,L,288.0
5236,L,143.9
5237,H,161.7
5238,L,118.8
5239,L,95.4
5240,CO,27.8
5241,CK,39.7
5242,H,80.3
5243,L,28.3
5244,H,47.2
5245,L,41.6
5246,L,22.6
5247,H,10.3
5248,L,26.1
5249,L,5.8
5250,H,7.9
5251,L,22.7
5252,L,15.1
5253,H,20.4
5254,L,4.9
5255,LL,0.1
5256,H,0.3
5259,Iron,9300.0
5261,L,28000.0
5269,Iron,18400.0
5284,H,9.0
5285,H,18.0
5286,H,338.0
5287,H,254.0
5288,H,193.0
5289,L,179.0
5290,L,24.0
5291,H,15.0
5292,L,95.0
5293,L,47.0
5294,L,32.0
5295,L,17.0
5296,L,105.0
5297,H,20.0
5298,L,115.0
5299,H,34.0
5300,H,41.0
5301,H,6.0
5302,H,1.1
5359,LL,579.0
5360,H,3016.0
5368,Pallasite,928.2
5375,H,38000.0
5379,CO,2860.0
5398,L,120.0
5401,LL,61.1
5403,Mesosiderite,37.5
5404,H,228.0
5405,H,19.5
5406,H,11.9
5407,CO,98.0
5408,CR,5.2
5409,L,329.0
5410,H,573.0
5411,H,225.0
5412,H,428.0
5413,H,191.0
5414,L,239.0
5415,H,647.0
5416,H,426.0
5417,L,1018.0
5418,H,3191.0
5419,L,2084.0
5420,H,53.5
5421,H,312.0
5422,L,39.0
5423,H,845.0
5424,L,2408.0
5425,H,4993.0
5426,H,169.0
5427,H,214.0
5428,L,1178.0
5429,H,1107.0
5430,L,211.0
5431,LL,20.0
5432,H,904.0
5433,H,42.0
5442,H,3740.0
5447,L,350.4
5453,Iron,5390.0
5455,L,26.0
5464,Ureilite,699.0
5495,H,35900.0
5513,Pallasite,17000.0
5515,H,44.0
5527,H,6.6
5528,H,46.8
5552,Iron,243.0
5577,H,140.0
5578,H,6.1
5579,H,17.4
5580,H,117.5
5581,H,18.3
5582,H,10.4
5583,H,32.22
5584,H,90.04
5585,H,10.84
5586,H,13.87
5587,H,17.02
5588,H,17.7
5589,H,76.88
5590,H,9.87
5591,H,16.66
5592,H,43.0
5593,L,42.57
5594,H,36.35
5595,H,187.55
5596,L,1.47
5597,H,54.31
5598,L,22.5
5599,L,512.0
5600,H,16.36
5601,LL,81.4
5602,H,71.8
5603,H,7.5
5604,H,16.2
5605,H,47.2
5606,H,21.3
5607,H,7.2
5609,H,240.0
5626,L,95.0
5627,L,7.5
5628,H,40.0
5629,H,35.0
5630,H,0.5
5631,L,96.7
5632,L,18.02
5633,H,19.0
5634,L,10.5
5635,L,10.69
5636,H,0.72
5637,Pallasite,325.7
5638,H,1.6
5639,H,23.1
5640,H,8.5
5641,L,10.1
5642,L,31.72
5644,L,19.5
5645,H,22.2
5650,L,406.2
5651,LL,219.7
5652,LL,461.3
5653,LL,493.1
5654,H,491.4
5655,LL,185.4
5656,L,100.5
5657,LL,167.4
5658,LL,183.3
5659,LL,184.5
5660,LL,118.7
5661,LL,145.9
5662,L,203.6
5663,LL,138.2
5664,LL,121.5
5665,L,162.1
5666,LL,56.5
5667,LL,167.4
5668,H,134.9
5669,LL,97.8
5670,Mesosiderite,61.3
5671,L,197.3
5672,L,22.7
5673,LL,152.6
5674,L,12.8
5675,LL,114.0
5676,LL,82.3
5677,L,116.6
5678,H,96.0
5679,L,117.6
5680,L,32.4
5681,Mesosiderite,84.9
5682,L,35.1
5684,L,14.6
5685,L,6.7
5686,L,19.4
5687,H,56.0
5688,H,28.0
5689,L,43.2
5690,L,30.4
5691,LL,20.7
5692,LL,14.6
5693,L,28.6
5694,Ureilite,20.2
5695,Pallasite,8.3
5696,Pallasite,9625.0
5697,Pallasite,5695.2
5698,Pallasite,12550.0
5708,H,8991.0
5710,L,26.7
5711,LL,4.4
5712,L,12.5
5713,CM,47.4
5825,Ureilite,119.0
5836,H,55.8
5837,H,101.1
5838,LL,33.6
5844,CO,131.0
5845,LL,68.0
5849,H,321.0
5858,CV,781.0
5861,LL,32.1
5862,LL,235.0
5863,L,955.0
5865,Lunar,0.8
5866,H,88.0
5868,H,265.0
5869,Martian,40.1
5870,LL,280.0
5871,CV,98.0
5873,Eucrite,305.0
5876,L,73.09999999999998
5877,H,1470.0
5879,Eucrite,310.0
5880,Ureilite,207.0
5881,CV,410.3
6430,H,15.0
6435,L,137.0
6444,L,96.0
6449,H,162.0
6551,H,56.7
6552,L,13.7
6553,H,89.9
6554,H,84.0
6555,H,50.7
6556,LL,278.0
6557,L,243.0
6558,Ureilite,32.1
6559,H,36.8
6560,L,52.7
6561,L,241.0
6562,H,148.0
6563,LL,202.0
6564,LL,109.0
6565,H,166.0
6566,H,27.8
6567,L,41.4
6568,H,56.7
6569,H,76.4
6570,H,107.0
6571,H,96.4
6572,Ureilite,25.2
6573,H,230.0
6574,L,37.0
6575,H,10.5
6576,L,51.9
6577,H,48.4
6578,H,187.0
6579,L,69.0
6580,L,97.8
6581,L,64.0
6582,H,60.0
6583,H,2022.0
6584,H,37.8
6585,L,102.0
6586,H,214.0
6587,H,71.2
6588,H,196.0
6589,H,110.0
6590,L,688.0
6591,L,560.0
6592,H,1103.0
6593,H,44.2
6594,L,47.3
6595,H,112.0
6596,H,6.0
6597,L,23.0
6598,H,107.0
6599,L,7.4
6600,H,23.7
6601,Ureilite,53.1
6602,H,54.5
6603,L,166.0
6604,H,9.0
6605,H,12.9
6606,H,68.8
6607,L,35.1
6608,L,113.0
6609,H,27.1
6610,H,12.6
6639,Ureilite,40.0
6641,H,262.0
6643,Eucrite,885.0
6645,Ureilite,64.6
6648,H,211.0
6649,L,58.0
6650,Ureilite,26.0
6651,H,131.0
6652,Howardite,86.0
6653,LL,42.0
6654,H,100.0
6655,H,100.0
6656,H,102.0
6657,H,74.0
6658,H,156.0
6659,H,44.0
6660,H,58.0
6661,H,68.0
6662,L,58.0
6663,H,48.0
6664,H,132.0
6665,L,78.0
6666,H,286.0
6667,H,22.6
6668,Ureilite,73.0
6669,H,828.0
6674,H,114.0
6675,H,144.0
6676,H,141.0
6677,L,112.0
6678,H,142.0
6679,H,204.0
6680,Howardite,740.0
6681,L,183.0
6682,H,52.0
6683,H,200.0
6684,H,106.0
6685,H,106.0
6686,H,123.0
6687,L,253.0
6688,Ureilite,255.0
6689,L,54.0
6690,H,93.0
6691,H,243.0
6692,H,367.0
6693,H,96.0
6694,H,119.0
6695,H,560.0
6696,L,140.0
6697,Howardite,23.0
6698,H,170.0
6699,H,54.0
6700,H,376.0
6701,H,522.0
6702,L,136.0
6703,H,54.0
6704,L,367.0
6705,L,210.0
6706,H,57.0
6707,L,15.25
6708,LL,119.27
6709,Eucrite,300.0
6710,LL,54.03
