,Competition,"Arrests per 100,000 attendees (2015-16)"
0,Premier League,3.111398684881801
1,Championship,4.842432900107307
2,League One,6.649163102959636
3,League Two,7.682652274250644
4,National League National Division,5.798396410697566
5,FA Cup,7.433311049283329
6,League Cup,8.108746681355614
7,Football League Trophy,11.69235086406473
8,European competitions,2.074329693961559
9,Internationals,6.423240139255847
10,Total,4.768441416641815
